CS_KEY,CS,CS,
required,optional,optional,
string,string,string,
id,text,value,
字符串ID,文本,参数,备注
LoginTips,配置文件更新中,,登录的时候，更新配置文件时的提示信息
initial_gold,400,,新注册用户初始化金币数值
initial_diamond,0,,新注册用户初始化钻石数值
RankAnimationSwitch,3,,玩家X等级后，elo变化触发动画提示
DefenseCoef,0.0025,,战斗公式：防御系数
EngResistanceCoef,0.0025,,战斗公式：法抗系数
initPower,100,,初始体力
recoveryInterval,360,,恢复时间间隔
recoveryNumber,1,,恢复数量
maxBuyCount,10,,购买次数
initPvPPoint,1000,,初始玩家pvp分数
PvPLeftChallengeCount,100,,pvp挑战剩余次数
DailyStartTime,4,,每日任务初始刷新时间
PVPOpenTime1,0-24,,PVP开放时间1（开放时段）
PVPOpenTime2,11-13,,PVP开放时间2（活跃时段）
PVPOpenTime3,17-19,,PVP开放时间3（活跃时段）
GVGOpenTime1,0-24,,3V3开放时间1（开放时段）
GVGOpenTime2,0-24,,3V3开放时间2（开放时段）
MaxLoseCount,5,,PVP连败N场后匹配到简单难度机器人
PVPPublicCDTime,0.5,,PVP技能兵种公共CD时间（单位s）
PVPNewbieAICount,5,,菜鸟在最初多少场内必须匹配机器人
MaxCardNum,9999,,卡牌数量上限
convertGoldA,0.1,,金币转换公式参数A
convertGoldB,1,,金币转换公式参数B
PVPFirstNum,0,,1v1战斗前X场胜利获得箱子奖励
JENKINS_TEST_FILED,gtyh,,服务器测试字段
LegionWarCnt,999,,BOSS战玩家每次军团战的可用次数
LegionWarLowNum,1,,BOSS战公会最小人数要求 
LegionWarFightNum,40,,BOSS战匹配时的默认战斗次数
LegionWarRank,4,,BOSS战匹配时的默认排名
LegionWarBossSurplus,60,,BOSS战匹配时的默认血量剩余百分比
LegionWarA,2,,BOSS战匹配时的人数参数
LegionWarB,2,,BOSS战匹配时的战斗次数参数
LegionWarC,2,,BOSS战匹配时的等级参数
LegionWarD,1,,BOSS战匹配时的排名参数
LegionWarE,1,,BOSS战匹配时的剩余血量参数百分比
LegionWarFirstTime,2017-3-20-03-00,,BOSS战第一次开启时间(年-月-日-时-分)
LegionWarFightDay,0.96,,BOSS战战斗天数(支持小数点)
LegionWarRestDay,0.04,,BOSS战休息天数(支持小数点)
LegionWarRefreshTime,2,,BOSS战AI刷新间隔，小时(支持小数点)
PVPCreditPoints,100,,PVP信誉积分(新赛季刷新)
PVPMinusPoints,0,,掉线1场扣除信誉值
PVPPlusPoints,3,,正常结算1场恢复信誉值
PvpMachineSettlement,3,,pvp人机结算时增加信誉值
PvpCdEndAddCredit,10,,pvp中cd结束增加信誉值
QaUIControl,8,,问卷调查解锁等级
NoticeBut,10,,通知解锁等级
OrangePVPBox,200,,生成橙色箱子计数，第OrangeBox个箱子生成橙色
PurplePVPBox,"22,44,66,88,110,132,155,178",,生成紫色箱子计数，用逗号分隔
OrangeGVGBox,200,,生成橙色箱子计数，第OrangeBox个箱子生成橙色
PurpleGVGBox,1,,生成紫色箱子计数，用逗号分隔
PVPRobotMaxPoint,9999,,PVP机器人最大Point上限
DelayTimeInBlindage,5,,PVE草丛中攻击敌人的显形时间
HidingCDInBlindage,0.2,,PVE草丛中隐身BUFF的CD时间
PvpBattleReportTime,60,,"pvp战备时间,单位为秒"
CardMaxLevel,9,,"卡牌最大等级,目前生成PVP机器人会用到"
PvpRobotDetermineUpTime,10,,"机器人战备确定上限时间,单位为秒"
PvpRobotDetermineDownTime,5,,"机器人战备确定下限时间,单位为秒"
PvpWaitTimeBeforeFight,5,,战中备战完成后等待几秒进入战斗
GVGBoxLimit,10,,3V3每日宝箱上限
Pve3V3MatchRobotTime,30,,"人机3v3多长时间匹配机器人,单位为秒"
BattleCount,5,,攻防战每日次数
BattleInterval,0,,攻防战每次间隔时间（秒）
OnlineGiftLevelLimit,5,,每日在线礼包开发等级
CaptureHandClick,8,,圈中出现小手提示的次数
MaxUnitSpeed,20,,战斗单位最大速度限制
TipGetGapTime,3,,文字提示切换时间，单位为秒
MinLevelTime,30,,估计关卡最快通关时间，程序反作弊用
AccusationMaxItem,3,,举报系统最多勾选数量
AccusationMaxText,240,,举报系统最多文字数量（3字符等1中文）
BattleOperateTime,10,,pvp划线和点击统计间隔（秒）
ChangeNameCost,100,,修改名字消耗的钻石数
NetworkShowWaitingTime,0.8,,网络连接显示菊花前的等待时间
NetworkShowTimeOutTime,6,,网络连接显示超时弹框前的等待时间。目前只能制作最后一条协议等待时间。有空能出转菊花，再发一条协议
NetworkShowReqCmdId,1,,弹框提示是否显示协议ID 1为是 0为否 上线前请改为否！
IsAutoLogin,0,,是否自动登录1为是 0为否
PVPCreditRecordMax,100,,信誉记录条数最大值
IsMoveQuickThanNormal,1,,是否在画线移动时限制最小速度为正常速度（0：否）
IsMoveGroupInCenterOn,1,,画线排列规则是否中心优先（0：否）
HPBarDimension,100000,,英雄血条每格代表的血量
HPBarMaxGrid,15,,英雄血条最大格子数
LegionsCreateNameMax,7,,创建军团名最大字数
LegionsCreateNameMin,2,,创建军团名最小字数
SoldierWaveSpeed,8.5,,小兵抖动速度
HeroWaveSpeed,8,,英雄抖动速度
Pvp1V1MatchTime,60,,军团1V1倒计时时间
SoldierSpace,1.3,,士兵（英雄）的间距
MatchTargetTeamArg,5,,按照匹配区间 有无初始队伍人数一致的队伍且等待时间差为MatchTargetTeamArg(单位:s)
PlayerAttackHeroCD,5,,玩家攻击英雄的保护CD
PlayerAttackTowerCD,5,,玩家攻击炮塔的保护CD
RecordListMaxCount,100,,pvp 战报最大个数
RecordExpireHour,720,,pvp 战报最大时间，单位为小时
RecordListPageCount,10,,pvp 战报一页个数
PVPDelayed,1,,pvp 匹配延时1
MailExpireTime,720,,邮件保留时间（单位:小时）
MaxMailNum,50,,最大邮件数量
ReadMailTime,72,,已读邮件的保留时间（单位：小时）
HeroBubbleTime,4,,英雄气泡持续时间
LeaderBubbleTime,0,,队长气泡持续时间
HeroDeadTime,6,,英雄死亡持续时间
BattlePrepareTime,7,,进入战斗画面的战斗准备时间，单位为s（服务器同步时间专用，客户端不用）
SoldierSizeStandard,3.2,,小兵大小基准值
SoldierPixerStandard,29,,小兵像素基准值
SoldierWalkWaveRange,0.36,,士兵行走抖动幅度
HeroWalkWaveRange,0.4,,英雄行走抖动幅度
AllianceKickMailTitle,军团通知,,军团踢人发送邮件标题
AllianceKickMailContent,您已被踢出军团,,军团踢人发送邮件内容
MoveSpeedUpDown,0/300,,移动速度上下限
GuardRangeUpDown,0/999999,,警戒范围上下限
AreaAttackUpDown,0/999999,,溅射攻击上下限
AreaAttackRangeUpDown,0/999999,,溅射攻击范围上下限
AttackRangeUpDown,0/999999,,攻击范围上下限
AttackRateUpDown,0/8,,攻击速度上下限
DamageRangeUpDown,0/999999,,伤害范围上下限
MaxHPUpDown,0/9999999,,最大生命值上下限
PhyAttackUpDown,0/999999,,物理攻击力上下限
PhyDefenceUpDown,0/999999,,防御力上下限
PhyResistanceUpDown,0/0.8,,物理抗性上下限
EngAttackUpDown,0/999999,,法术攻击力上下限
EngResistanceUpDown,0/999999,,法术抗性上下限
EngDamageRateUpDown,-1/1,,法术伤害加成率上下限
BattleLevelUpDown,1/6,,战斗内等级成长上下限
DmgResistanceUpDown,0/0.5,,伤害减免上下限
AmmoCostUpDown,0/10,,弹药量消耗上下限
SkillCDUpDown,0.2/100,,技能冷却上下限
RageCostUpDown,0/20000,,怒气消耗上下限
CritUpDown,0/1,,暴击上下限
MultipleCritUpDown,0/9,,暴击倍数上下限
DodegUpDown,0/0.5,,闪避率上下限
RiotStrikeUpDown,0/1,,抗暴率上下限
DmgFloatUpDown,1/1,,伤害浮动上下限
